Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
CUARTA,2022-05-30,ACHEVESICH,AMU,ALETELIER,ACOPPO,AETCHEBERRY,permiso,,,
TERCERA,2022-05-30,MU,ARAVANALES,MATUS,MUNITA,AGUILA,,,,
SEGUNDA,2022-05-30,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-05-30,SILVA,PRADO,SILVA,AREPETTO,HUMERES,,,,
CUARTA,2022-06-01,BLANCO,ACHEVESICH,AMU,MUNITA,AETCHEBERRY,,,,
TERCERA,2022-06-01,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-06-01,BRITO,VALDERRAMA,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-06-01,SILVA,PRADO,SILVA,AREPETTO,ALCALDE,,,,
CUARTA,2022-06-02,BLANCO,ACHEVESICH,AMU,AGAJARDO,RUZ,,,,
CUARTA,2022-06-03,BLANCO,ACHEVESICH,AGAJARDO,MUNITA,ACOPPO,permiso,,,
TERCERA,2022-06-03,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-06-03,VALDERRAMA,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-06-03,SILVA,PRADO,SILVA,AREPETTO,FUENTES,,,,
TERCERA,2022-06-07,AVIVANCO,ARAVANALES,CARROZA,MATUS,AGUILA,,,,
SEGUNDA,2022-06-07,VALDERRAMA,DAHM,LLANOS,MUNITA,RUZ,,,,
PRIMERA,2022-06-07,SILVA,PRADO,SILVA,ATAVOLARI,ACOPPO,,,,
CUARTA,2022-06-08,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-06-08,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-06-08,BRITO,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-06-08,SILVA,PRADO,SILVA,AREPETTO,AMUNITA,,,,
CUARTA,2022-06-09,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-06-09,AVIVANCO,ARAVANALES,CARROZA,AGUILA,RUZ,,,,
SEGUNDA,2022-06-09,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-06-09,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-06-13,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,ACOPPO,,,,
TERCERA,2022-06-13,MU,AVIVANCO,ARAVANALES,CARROZA,RUZ,,,,
SEGUNDA,2022-06-13,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-06-13,SILVA,PRADO,SILVA,AREPETTO,ALCALDE,,,,
CUARTA,2022-06-14,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-06-14,MU,AVIVANCO,ARAVANALES,CARROZA,AGUILA,,,,
SEGUNDA,2022-06-14,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-06-14,SILVA,PRADO,SILVA,AREPETTO,MATUS,,,,
TERCERA,2022-06-15,MU,AVIVANCO,MATUS,ALCALDE,AGUILA,,,,
SEGUNDA,2022-06-15,BRITO,LLANOS,ALETELIER,MUNITA,ABUAUAD,,,,
PRIMERA,2022-06-15,SILVA,PRADO,SILVA,ARAVANALES,CARROZA,,,,
CUARTA,2022-06-17,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-06-17,MU,CARROZA,MATUS,AGUILA,ABENAVIDES,,,,
SEGUNDA,2022-06-17,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-06-17,SILVA,SILVA,AREPETTO,MORALES,HUMERES,,,,
CUARTA,2022-06-20,BLANCO,AMU,AGAJARDO,ATAVOLARI,RUZ,subroga,,,
TERCERA,2022-06-20,MU,CARROZA,SIMPERTIGUE,ACOPPO,ABENAVIDES,permiso,,,
SEGUNDA,2022-06-20,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-06-20,SILVA,PRADO,SILVA,ALCALDE,FUENTES,,,,
CUARTA,2022-06-23,BLANCO,AMU,SIMPERTIGUE,MORALES,ATAVOLARI,,,,
TERCERA,2022-06-23,MU,CARROZA,MATUS,ALCALDE,AGUILA,,,,
SEGUNDA,2022-06-23,BRITO,VALDERRAMA,DAHM,ALETELIER,MUNITA,,,,
PRIMERA,2022-06-23,SILVA,PRADO,SILVA,AREPETTO,LLANOS,,,,
CUARTA,2022-06-24,BLANCO,ACHEVESICH,AMU,SIMPERTIGUE,MORALES,,,,
TERCERA,2022-06-24,MU,CARROZA,MATUS,AGUILA,ABENAVIDES,,,,
PRIMERA,2022-06-24,SILVA,PRADO,SILVA,AREPETTO,ACOPPO,,,,
SEGUNDA,2022-06-24,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
SEGUNDA,2022-06-28,BRITO,VALDERRAMA,DAHM,ALETELIER,MUNITA,,,,
PRIMERA,2022-06-28,SILVA,PRADO,SILVA,AREPETTO,HUMERES,,,,
CUARTA,2022-06-30,BLANCO,ACHEVESICH,AMU,AGAJARDO,AETCHEBERRY,,,,
TERCERA,2022-06-30,MU,AVIVANCO,MATUS,AGUILA,ABENAVIDES,,,,
SEGUNDA,2022-06-30,BRITO,DAHM,ALETELIER,MUNITA,ATAVOLARI,feriado,,,
PRIMERA,2022-06-30,PRADO,SILVA,SIMPERTIGUE,HUMERES,FUENTES,,,,
CUARTA,2022-07-01,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-07-01,MU,AVIVANCO,MATUS,MUNITA,ALCALDE,,,,
SEGUNDA,2022-07-01,BRITO,VALDERRAMA,DAHM,ALETELIER,ABUAUAD,,,,
PRIMERA,2022-07-01,SILVA,PRADO,SILVA,MORALES,HUMERES,,,,
CUARTA,2022-07-05,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-07-05,MU,ARAVANALES,CARROZA,MATUS,ALCALDE,,,,
SEGUNDA,2022-07-05,BRITO,VALDERRAMA,DAHM,ALETELIER,ABUAUAD,,,,
PRIMERA,2022-07-05,SILVA,PRADO,SILVA,GOMEZ,MUNITA,,,,
CUARTA,2022-07-06,BLANCO,ACHEVESICH,AMU,ALETELIER,ACOPPO,,,,
TERCERA,2022-07-06,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-07-06,BRITO,AGAJARDO,SIMPERTIGUE,RUZ,AETCHEBERRY,permiso,feriado,,
PRIMERA,2022-07-06,SILVA,PRADO,SILVA,GOMEZ,HUMERES,,,,
CUARTA,2022-07-07,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,MORALES,,,,
TERCERA,2022-07-07,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-07-07,BRITO,VALDERRAMA,DAHM,ALETELIER,MUNITA,,,,
PRIMERA,2022-07-07,SILVA,PRADO,SILVA,GOMEZ,ACOPPO,,,,
CUARTA,2022-07-08,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-07-08,MU,ARAVANALES,CARROZA,AGUILA,ABENAVIDES,,,,
CUARTA,2022-07-11,BLANCO,SIMPERTIGUE,CONTRERAS,HUMERES,AETCHEBERRY,permiso,feriado,,
TERCERA,2022-07-11,MU,ARAVANALES,CARROZA,MATUS,AGUILA,,,,
SEGUNDA,2022-07-11,BRITO,VALDERRAMA,DAHM,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-07-11,SILVA,PRADO,SILVA,GOMEZ,MUNITA,,,,
CUARTA,2022-07-12,BLANCO,AGAJARDO,SIMPERTIGUE,MERA,MORALES,permiso,feriado,,
SEGUNDA,2022-07-12,BRITO,VALDERRAMA,DAHM,ATAVOLARI,ABUAUAD,feriado,,,
PRIMERA,2022-07-12,SILVA,PRADO,SILVA,GOMEZ,MUNITA,,,,
CUARTA,2022-07-13,SILVA,BLANCO,AGAJARDO,MERA,RUZ,permiso,feriado,subroga,
SEGUNDA,2022-07-13,BRITO,VALDERRAMA,ALETELIER,MATUS,GOMEZ,subroga,,,
PRIMERA,2022-07-13,DAHM,PRADO,SIMPERTIGUE,MUNITA,AGUILA,subroga,,,
CUARTA,2022-07-15,BLANCO,AGAJARDO,SIMPERTIGUE,MERA,MORALES,permiso,feriado,,
TERCERA,2022-07-15,MU,ARAVANALES,CARROZA,MATUS,ABENAVIDES,subroga,,,
SEGUNDA,2022-07-15,BRITO,VALDERRAMA,DAHM,ALETELIER,TAVOLARI,,,,
PRIMERA,2022-07-15,PRADO,GOMEZ,CONTRERAS,MUNITA,HUMERES,feriado,,,
CUARTA,2022-07-19,BLANCO,AGAJARDO,MERA,MUNITA,AETCHEBERRY,feriado,,,
TERCERA,2022-07-19,CARROZA,MATUS,CONTRERAS,ALCALDE,AGUILA,feriado,,,
SEGUNDA,2022-07-19,BRITO,VALDERRAMA,DAHM,ATAVOLARI,ABUAUAD,subroga,,,
PRIMERA,2022-07-19,SILVA,PRADO,ALETELIER,MORALES,RUZ,feriado,,,
TERCERA,2022-07-20,MU,ARAVANALES,CARROZA,MATUS,CONTRERAS,,,,
SEGUNDA,2022-07-20,BRITO,DAHM,ALETELIER,ATAVOLARI,ABUAUAD,,,,
PRIMERA,2022-07-20,SILVA,PRADO,AREPETTO,ALCALDE,ACOPPO,,,,
CUARTA,2022-07-22,BLANCO,AGAJARDO,SIMPERTIGUE,MERA,RUZ,,,,
TERCERA,2022-07-22,ARAVANALES,CARROZA,MATUS,CONTRERAS,ALCALDE,feriado,,,
SEGUNDA,2022-07-22,BRITO,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-07-22,SILVA,PRADO,AREPETTO,MORALES,HUMERES,,,,
SEGUNDA,2022-07-25,BRITO,DAHM,LLANOS,ALETELIER,MUNITA,,,,
PRIMERA,2022-07-25,SILVA,PRADO,AREPETTO,HUMERES,ATAVOLARI,,,,
CUARTA,2022-07-26,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,AETCHEBERRY,,,,
CUARTA,2022-07-27,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,MORALES,,,,
TERCERA,2022-07-27,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-07-27,BRITO,DAHM,LLANOS,ALETELIER,AETCHEBERRY,,,,
PRIMERA,2022-07-27,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-08-03,AMU,AGAJARDO,SIMPERTIGUE,RUZ,AETCHEBERRY,feriado,subroga,,
TERCERA,2022-08-03,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-08-03,BRITO,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-08-03,SILVA,AREPETTO,MU,MERA,HUMERES,feriado,,,
TERCERA,2022-08-05,MU,AVIVANCO,MATUS,ACOPPO,RUZ,,,,
SEGUNDA,2022-08-05,BRITO,DAHM,LLANOS,MUNITA,ABUAUAD,,,,
PRIMERA,2022-08-05,PRADO,SILVA,AREPETTO,MU,HUMERES,,,,
CUARTA,2022-08-08,AMU,AGAJARDO,SIMPERTIGUE,MERA,AETCHEBERRY,feriado,,,
TERCERA,2022-08-08,MU,ARAVANALES,CARROZA,MATUS,AAGUILA,,,,
SEGUNDA,2022-08-08,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-08,PRADO,SILVA,AREPETTO,MU,MUNITA,,,,
TERCERA,2022-08-09,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-08-09,BRITO,VALDERRAMA,DAHM,ATAVOLARI,ABUAUAD,feriado,,,
SEGUNDA,2022-08-11,VALDERRAMA,LLANOS,MATUS,MUNITA,MORALES,feriado,,,
PRIMERA,2022-08-11,PRADO,SILVA,AREPETTO,MU,HUMERES,,,,
TERCERA,2022-08-11,AVIVANCO,ARAVANALES,CARROZA,SIMPERTIGUE,AGUILA,,,,
CUARTA,2022-08-12,ACHEVESICH,AMU,AGAJARDO,ACOPPO,AETCHEBERRY,feriado,subroga,,
TERCERA,2022-08-12,AVIVANCO,ARAVANALES,MATUS,MORALES,AGUILA,,,,
SEGUNDA,2022-08-12,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-12,PRADO,MU,MERA,MUNITA,FUENTES,feriado,,,
CUARTA,2022-08-16,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,MERA,,,,
TERCERA,2022-08-16,AVIVANCO,ARAVANALES,CARROZA,MATUS,MUNITA,,,,
SEGUNDA,2022-08-16,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-16,PRADO,SILVA,MU,MORALES,FUENTES,feriado,,,
SEGUNDA,2022-08-17,BRITO,VALDERRAMA,DAHM,LLANOS,ABUAUAD,,,,
PRIMERA,2022-08-17,PRADO,SILVA,AREPETTO,MU,HUMERES,,,,
CUARTA,2022-08-18,AMU,AGAJARDO,SIMPERTIGUE,MERA,RUZ,feriado,,,
TERCERA,2022-08-18,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-08-18,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-18,PRADO,SILVA,AREPETTO,MU,MUNITA,,,,
CUARTA,2022-08-19,ACHEVESICH,AMU,SIMPERTIGUE,MERA,MORALES,feriado,,,
TERCERA,2022-08-19,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-08-19,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-19,PRADO,SILVA,AREPETTO,MU,HUMERES,,,,
CUARTA,2022-08-22,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,MERA,,,,
TERCERA,2022-08-22,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-08-22,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-22,PRADO,AREPETTO,MU,MUNITA,,feriado,,,
TERCERA,2022-08-23,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-08-23,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-23,PRADO,AREPETTO,MU,ACOPPO,,feriado,,,
CUARTA,2022-08-25,A,AGAJARDO,SIMPERTIGUE,, MORALES,feriado,subroga,,
TERCERA,2022-08-25,ARAVANALES,CARROZA,, MERA,MUNITA,,,,
SEGUNDA,2022-08-25,BRITO,VALDERRAMA,DAHM,LLANOS,RUZ,,,,
PRIMERA,2022-08-25,PRADO,SILVA,AREPETTO,MU,HUMERES,,,,
CUARTA,2022-08-26,A,SIMPERTIGUE,, MERA,,feriado,,,
TERCERA,2022-08-26,MU,ARAVANALES,, CARROZA,MORALES,,,,
SEGUNDA,2022-08-26,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-08-26,PRADO,SILVA,AREPETTO,MU,FUENTES,,,,
TERCERA,2022-08-29,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-08-29,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-08-29,PRADO,SILVA,AREPETTO,MU,FUENTES,,,,
CUARTA,2022-08-30,A,AGAJARDO,SIMPERTIGUE,, MERA,feriado,,,
TERCERA,2022-08-30,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-08-30,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-08-30,PRADO,SILVA,AREPETTO,MU,MUNITA,,,,
CUARTA,2022-08-31,A,AGAJARDO,, MERA,RUZ,permiso,feriado,,
TERCERA,2022-08-31,MU,AVIVANCO,, CARROZA,,,,,
SEGUNDA,2022-08-31,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-08-31,PRADO,SILVA,AREPETTO,MU,HUMERES,,,,
CUARTA,2022-09-01,A,MATUS,, MERA,MUNITA,permiso,feriado,,
TERCERA,2022-09-01,MUÑOZ,AVIVANCO,A,CARROZA,ACOPPO,,,,
SEGUNDA,2022-09-01,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-09-01,PRADO,SILVA,AREPETTO,MUÑOZ,FUENTES,,,,
CUARTA,2022-09-02,A,MATUS,AGAJARDO,RUZ,AETCHEBERRY,permiso,,,
TERCERA,2022-09-02,MUÑOZ,AVIVANCO,CARROZA,ACOPPO,,subroga,,,
SEGUNDA,2022-09-02,BRITO,VALDERRAMA,DAHM,LLANOS,A,,,,
PRIMERA,2022-09-02,PRADO,SILVA,AREPETTO,MUNITA,MORALES,,,,
CUARTA,2022-09-05,, BLANCO,ACHEVESICH,AMUÑOZ,AGAJARDO,,,,
TERCERA,2022-09-05,MUÑOZ,AVIVANCO,ARAVANALES,CARROZA,ATAVOLARI,,,,
SEGUNDA,2022-09-05,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-09-05,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-09-06,, BLANCO,ACHEVESICH,AMUÑOZ,AGAJARDO,,,,
TERCERA,2022-09-06,MUÑOZ,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-09-06,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-09-06,SILVA,SILVA,AREPETTO,MORALES,ATAVOLARI,,,,
CUARTA,2022-09-07,, BRITO,AMUÑOZ,AGAJARDO,SIMPERTIGUE,permiso,,,
TERCERA,2022-09-07,MUÑOZ,AVIVANCO,CARROZA,MATUS,ACOPPO,,,,
SEGUNDA,2022-09-07,VALDERRAMA,LLANOS,ALETELIER,MUNITA,RUZ,subroga,,,
PRIMERA,2022-09-07,SILVA,PRADO,SILVA,ATAVOLARI,AGUILA,,,,
CUARTA,2022-09-08,, BLANCO,AGAJARDO,SIMPERTIGUE,ACOPPO,,,,
TERCERA,2022-09-08,MUÑOZ,AVIVANCO,A,CARROZA,MATUS,,,,
SEGUNDA,2022-09-08,BRITO,, VALDERRAMA,, DAHM,,,,
PRIMERA,2022-09-08,SILVA,PRADO,SILVA,MUNITA,HUMERES,,,,
CUARTA,2022-09-09,A,AMUÑOZ,A,SIMPERTIGUE,,,,,
TERCERA,2022-09-09,MUÑOZ,AVIVANCO,CARROZA,MATUS,,,,,
SEGUNDA,2022-09-09,BRITO,LLANOS,ALETELIER,GONZALEZ,A,permiso,,,
PRIMERA,2022-09-09,SILVA,PRADO,SILVA,AREPETTO,MORALES,,,,
CUARTA,2022-09-12,A,A,SIMPERTIGUE,, MUÑOZ,permiso,,,
TERCERA,2022-09-12,MUÑOZ,AVIVANCO,CARROZA,MATUS,,,,,
PRIMERA,2022-09-12,SILVA,PRADO,SILVA,AREPETTO,A,,,,
SEGUNDA,2022-09-12,BRITO,VALDERRAMA,LLANOS,GONZALEZ,A,permiso,subroga,,
CUARTA,2022-09-13,A,A,SIMPERTIGUE,, MUÑOZ,permiso,,,
TERCERA,2022-09-13,MUÑOZ,AVIVANCO,CARROZA,MATUS,,,,,
SEGUNDA,2022-09-13,BRITO,VALDERRAMA,LLANOS,ALETELIER,GONZALEZ,,,,
PRIMERA,2022-09-13,SILVA,PRADO,SILVA,ATAVOLARI,ACOPPO,,,,
CUARTA,2022-09-14,A,A,SIMPERTIGUE,, MUÑOZ,permiso,,,
TERCERA,2022-09-14,MUÑOZ,AVIVANCO,CARROZA,MATUS,,,,,
SEGUNDA,2022-09-14,BRITO,VALDERRAMA,LLANOS,GONZALEZ,,permiso,,,
PRIMERA,2022-09-14,SILVA,PRADO,SILVA,ACOPPO,FUENTES,,,,
CUARTA,2022-09-15,ACHEVESICH,A,A,SIMPERTIGUE,,,,,
TERCERA,2022-09-15,AVIVANCO,CARROZA,MATUS,, MERA,permiso,,,
SEGUNDA,2022-09-15,BRITO,VALDERRAMA,LLANOS,ALETELIER,GONZALEZ,,,,
PRIMERA,2022-09-15,SILVA,PRADO,SILVA,, MORALES,,,,
