Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
SEGUNDA,2022-01-27,DAHM,BIEL,MERA,VASQUEZ,ETCHEBERRY,feriado,,,
TERCERA,2022-01-27,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
PRIMERA,2022-01-28,SILVA,, SILVA,MU,GOMEZ,feriado,,,
SEGUNDA,2022-01-28,DAHM,MERA,VASQUEZ,A,AETCHEBERRY,feriado,,,
TERCERA,2022-01-28,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
CUARTA,2022-01-28,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
CUARTA,2022-02-01,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
TERCERA,2022-02-01,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-01,BRITO,A,BIEL,, MERA,,,,
PRIMERA,2022-02-01,SILVA,, PRADO,SILVA,AREPETTO,,,,
TERCERA,2022-02-03,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-03,BRITO,, VALDERRAMA,ALETELIER,BIEL,subroga,,,
PRIMERA,2022-02-03,SILVA,, PRADO,SILVA,AREPETTO,,,,
CUARTA,2022-02-04,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
TERCERA,2022-02-04,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-04,BRITO,, VALDERRAMA,ALETELIER,BIEL,,,,
PRIMERA,2022-02-04,SILVA,, PRADO,SILVA,AREPETTO,feriado,,,
TERCERA,2022-02-08,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-08,BRITO,, VALDERRAMA,LLANOS,BIEL,,,,
PRIMERA,2022-02-08,SILVA,, PRADO,SILVA,GOMEZ,,,,
CUARTA,2022-02-09,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
TERCERA,2022-02-09,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-09,BRITO,, VALDERRAMA,LLANOS,BIEL,,,,
PRIMERA,2022-02-09,SILVA,, PRADO,SILVA,A,,,,
CUARTA,2022-02-10,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
TERCERA,2022-02-10,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-10,BRITO,, VALDERRAMA,LLANOS,BIEL,,,,
PRIMERA,2022-02-10,PRADO,, SILVA,A,GOMEZ,feriado,,,
CUARTA,2022-02-14,BLANCO,A,MU,MERA,CONTRERAS,,,,
TERCERA,2022-02-14,MU,AVIVANCO,A,, CARROZA,,,,
SEGUNDA,2022-02-14,BRITO,, VALDERRAMA,LLANOS,BIEL,,,,
PRIMERA,2022-02-14,SILVA,, PRADO,, SILVA,,,,
CUARTA,2022-02-15,BLANCO,A,MU,MERA,CONTRERAS,,,,
TERCERA,2022-02-15,AVIVANCO,ARAVANALES,, CARROZA,,feriado,,,
SEGUNDA,2022-02-15,BRITO,, VALDERRAMA,DAHM,LLANOS,,,,
PRIMERA,2022-02-15,SILVA,, PRADO,, SILVA,,,,
TERCERA,2022-02-16,AVIVANCO,ARAVANALES,, MATUS,,feriado,,,
SEGUNDA,2022-02-16,BRITO,, VALDERRAMA,DAHM,LLANOS,,,,
PRIMERA,2022-02-16,SILVA,, PRADO,, SILVA,,,,
CUARTA,2022-02-17,BLANCO,A,MU,MERA,CONTRERAS,,,,
TERCERA,2022-02-17,AVIVANCO,ARAVANALES,, CARROZA,,,,,
SEGUNDA,2022-02-17,BRITO,, VALDERRAMA,DAHM,LLANOS,,,,
PRIMERA,2022-02-17,SILVA,, PRADO,, SILVA,,,,
CUARTA,2022-02-21,BLANCO,A,, DAHM,MU,feriado,,,
TERCERA,2022-02-21,AVIVANCO,ARAVANALES,, CARROZA,,,,,
SEGUNDA,2022-02-21,BRITO,, VALDERRAMA,LLANOS,VASQUEZ,,,,
PRIMERA,2022-02-21,SILVA,, PRADO,, SILVA,,,,
CUARTA,2022-02-22,BLANCO,A,MU,MERA,CONTRERAS,,,,
TERCERA,2022-02-22,AVIVANCO,, CARROZA,, MATUS,feriado,,,
SEGUNDA,2022-02-22,BRITO,, VALDERRAMA,DAHM,LLANOS,,,,
PRIMERA,2022-02-22,SILVA,, PRADO,, SILVA,,,,
SEGUNDA,2022-02-23,BRITO,LLANOS,CONTRERAS,MUNITA,ABUAUAD,,,,
PRIMERA,2022-02-23,SILVA,, PRADO,, SILVA,,,,
CUARTA,2022-02-24,BLANCO,A,MU,MERA,CONTRERAS,,,,
TERCERA,2022-02-24,AVIVANCO,, CARROZA,, MATUS,feriado,,,
SEGUNDA,2022-02-24,BRITO,DAHM,LLANOS,MUNITA,ABUAUAD,,,,
PRIMERA,2022-02-24,SILVA,, PRADO,, SILVA,,,,
CUARTA,2022-02-28,AMU,A,AGAJARDO,MU,AETCHEBERRY,feriado,,,
TERCERA,2022-02-28,AVIVANCO,ARAVANALES,, CARROZA,,,,,
SEGUNDA,2022-02-28,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-02-28,SILVA,, PRADO,, SILVA,,,,
CUARTA,2022-03-01,BLANCO,A,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-03-01,AVIVANCO,ARAVANALES,, CARROZA,,,,,
SEGUNDA,2022-03-01,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
